winter_year,omiwatari_status,ice_cover_status,first_appearance_date,event_ids,source_ids,quality_flags,research_status,notes
2010,not_observed,unknown,,2010-season_report-1,shinshu,secondary_annual_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2011,not_observed,unknown,,2011-season_report-1,shinshu,secondary_annual_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2012,occurred,unknown,,2012-observation_confirmation-2;2012-ceremony-3;2012-season_report-1,shinshu;gemini_s002,secondary_annual_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2013,occurred,unknown,,2013-season_report-1;2013-sighting-2,shinshu,secondary_annual_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2014,not_observed,unknown,,2014-season_report-1,mikami2018,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2015,not_observed,unknown,,2015-season_report-1,mikami2018,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2016,not_observed,unknown,,2016-season_report-1,mikami2018,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2017,not_observed,unknown,,2017-season_report-1,mikami2018,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2018,occurred,near_complete_observed,,2018-first_observed-6;2018-first_observed-1;2018-sighting-2;2018-ceremony-3;2018-sighting-4;2018-sighting-5,mikami2018;tourism;nagano;shinshu;gemini_s001,first_date_disputed,reviewed_with_limits,JCDP 研究者報導記 2/2 出現；地方觀光回顧記 2/1。此差異尚未由逐日原帳釐清，兩筆保留，均不納入精確出現日期統計。；來源亦有廣泛可見期間敘述，但本版未取得逐日連續觀測，仍只呈現可確認的單次照片。
2019,not_observed,unknown,,2019-season_report-1,suwa2026,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2020,not_observed,unknown,,2020-season_report-1,suwa2026,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2021,not_observed,unknown,,2021-season_report-1,suwa2026,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2022,not_observed,unknown,,2022-season_report-1,suwa2026,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2023,not_observed,unknown,,2023-declaration-2;2023-season_report-1,suwa2026;nagano,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2024,not_observed,unknown,,2024-season_report-1,suwa2026,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2025,not_observed,partial_observed,,2025-personal_sighting-2;2025-season_report-1,suwa2026;user2025,retrospective_summary,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
2026,not_observed,complete_observed,,2026-declaration-3;2026-season_report-1;2026-ice_cover-2,suwa2026;gemini_s004,declaration_scope_not_full_season,reviewed_with_limits,尚未取得精確首次出現日或連續可見期間。
